Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,56,0,5100,5033.437266066488,7.946499972604215,13354.208800010383,141.55357142857142,0.9492095032430227,0.0,5100,5500,6500,7000,8900,11000,13000,13000,13000,13000,13000
POST,/predict,539,0,3800,4175.262951947825,263.4025000152178,12188.126699998975,194.2578849721707,9.136141468714094,0.0,3800,4700,5600,6000,7000,9000,11000,12000,12000,12000,12000
,Aggregated,595,0,3900,4256.032299158993,7.946499972604215,13354.208800010383,189.29747899159665,10.085350971957116,0.0,3900,4900,5700,6200,7200,9500,11000,12000,13000,13000,13000
